4, 15, 0.0005635362246920732, 0.0005941407810225619, 14, 9, 12, 3, 6, 11, 5, 7, 13, 0, 1, 10, 8, 2, 4, 14, 13, 11, 4, 0, 12, 9, 2, 7, 3, 5, 1, 6, 10, 8
8, 15, 0.000611457823248356, 0.0005777825011313713, 13, 10, 12, 9, 3, 7, 14, 6, 11, 8, 0, 2, 4, 1, 5, 14, 4, 2, 9, 7, 6, 11, 12, 0, 5, 1, 3, 13, 8, 10
12, 15, 0.000611457823248356, 0.0006342792523932922, 13, 10, 12, 9, 3, 7, 14, 6, 11, 8, 0, 2, 4, 1, 5, 14, 2, 13, 9, 11, 4, 3, 10, 1, 12, 8, 0, 6, 7, 5
16, 15, 0.0007096225627456263, 0.0006514696212013147, 3, 13, 9, 1, 6, 2, 12, 7, 4, 5, 11, 14, 10, 0, 8, 2, 14, 6, 0, 13, 10, 3, 1, 9, 4, 5, 11, 12, 8, 7
20, 15, 0.0008778593586771583, 0.0008074779200051287, 2, 14, 12, 8, 0, 1, 7, 13, 10, 9, 4, 6, 3, 5, 11, 1, 7, 8, 2, 12, 14, 10, 9, 4, 13, 0, 6, 11, 3, 5
24, 15, 0.0008958017664254066, 0.001218223616210688, 1, 2, 0, 12, 4, 10, 14, 13, 6, 9, 5, 7, 8, 3, 11, 2, 7, 14, 1, 3, 12, 10, 13, 0, 9, 5, 8, 11, 4, 6
28, 15, 0.001218223616210688, 0.0011233566122072804, 2, 7, 14, 1, 3, 12, 10, 13, 0, 9, 5, 8, 11, 4, 6, 2, 7, 1, 12, 6, 10, 0, 9, 8, 4, 11, 3, 13, 5, 14
32, 15, 0.0017185386082105181, 0.0017185386082105181, 2, 1, 7, 14, 11, 8, 12, 10, 3, 0, 9, 13, 6, 4, 5, 2, 1, 7, 14, 11, 8, 12, 10, 3, 0, 9, 13, 6, 4, 5
36, 15, 0.001986041198588359, 0.0020520650912256673, 2, 1, 7, 12, 14, 10, 11, 0, 3, 6, 13, 9, 5, 4, 8, 2, 1, 7, 12, 14, 10, 4, 3, 0, 9, 11, 13, 6, 5, 8
40, 15, 0.0027926463521185966, 0.0029815347745238787, 2, 7, 1, 3, 14, 12, 0, 11, 10, 4, 9, 13, 8, 6, 5, 7, 2, 1, 12, 0, 10, 11, 3, 14, 9, 4, 13, 8, 6, 5
44, 15, 0.0029815347745238787, 0.0027970997729975587, 7, 2, 1, 12, 0, 10, 11, 3, 14, 9, 4, 13, 8, 6, 5, 7, 12, 1, 2, 14, 10, 3, 0, 11, 9, 4, 13, 5, 8, 6
48, 15, 0.002991141371906411, 0.0030032494502054527, 2, 7, 1, 12, 0, 11, 3, 10, 14, 9, 4, 13, 8, 6, 5, 2, 1, 7, 14, 11, 12, 10, 3, 0, 4, 8, 9, 5, 13, 6
52, 15, 0.0030032494502054527, 0.003049956588295009, 2, 1, 7, 14, 11, 12, 10, 3, 0, 4, 8, 9, 5, 13, 6, 2, 7, 1, 3, 14, 12, 10, 0, 11, 9, 4, 8, 13, 6, 5
56, 15, 0.003078976695059227, 0.003078976695059227, 2, 1, 7, 12, 10, 11, 14, 3, 0, 4, 9, 13, 5, 6, 8, 2, 1, 7, 12, 10, 11, 14, 3, 0, 4, 9, 13, 5, 6, 8
60, 15, 0.0034182177739822688, 0.003476658666955571, 2, 1, 7, 14, 10, 12, 3, 0, 11, 9, 4, 13, 6, 8, 5, 2, 1, 7, 10, 14, 3, 12, 11, 0, 4, 9, 13, 5, 8, 6
64, 15, 0.003476658666955571, 0.003190905164168909, 2, 1, 7, 10, 14, 3, 12, 11, 0, 4, 9, 13, 5, 8, 6, 2, 1, 7, 14, 10, 0, 11, 12, 3, 9, 5, 4, 13, 6, 8
68, 15, 0.003476658666955571, 0.0030868791635026084, 2, 1, 7, 10, 14, 3, 12, 11, 0, 4, 9, 13, 5, 8, 6, 2, 7, 1, 14, 12, 10, 3, 0, 11, 9, 4, 13, 5, 8, 6
72, 15, 0.003476658666955571, 0.0031090420614920157, 2, 1, 7, 10, 14, 3, 12, 11, 0, 4, 9, 13, 5, 8, 6, 2, 1, 7, 14, 10, 0, 11, 12, 9, 3, 4, 5, 13, 6, 8
76, 15, 0.0034784044085058503, 0.0034472285544127237, 2, 7, 14, 1, 10, 11, 0, 12, 3, 9, 4, 5, 13, 8, 6, 2, 7, 14, 1, 10, 11, 0, 12, 3, 9, 4, 5, 13, 6, 8
80, 15, 0.0036946030561357383, 0.003566204145498786, 2, 1, 7, 14, 11, 10, 12, 0, 3, 9, 4, 13, 8, 5, 6, 2, 1, 7, 14, 11, 10, 12, 3, 0, 4, 9, 13, 8, 5, 6
84, 15, 0.0036946030561357383, 0.0025764125257417884, 2, 1, 7, 14, 11, 10, 12, 0, 3, 9, 4, 13, 8, 5, 6, 2, 1, 7, 14, 10, 11, 12, 3, 0, 4, 13, 5, 8, 9, 6
88, 15, 0.0036946030561357383, 0.0022082013765249175, 2, 1, 7, 14, 11, 10, 12, 0, 3, 9, 4, 13, 8, 5, 6, 2, 1, 7, 14, 11, 12, 0, 10, 3, 13, 4, 5, 8, 9, 6
92, 15, 0.0036946030561357383, 0.0029610266219898757, 2, 1, 7, 14, 11, 10, 12, 0, 3, 9, 4, 13, 8, 5, 6, 2, 7, 1, 14, 11, 12, 10, 0, 3, 9, 13, 5, 4, 8, 6
96, 15, 0.003909570570510738, 0.00392539863370942, 2, 1, 7, 14, 12, 10, 11, 0, 3, 9, 4, 5, 13, 8, 6, 1, 2, 7, 14, 11, 10, 12, 3, 0, 9, 4, 13, 5, 8, 6
100, 15, 0.0040014241198286105, 0.0040014241198286105, 2, 1, 7, 14, 11, 10, 12, 0, 3, 9, 4, 5, 13, 8, 6, 2, 1, 7, 14, 11, 10, 12, 0, 3, 9, 4, 5, 13, 8, 6
104, 15, 0.0040014241198286105, 0.004047313821069831, 2, 1, 7, 14, 11, 10, 12, 0, 3, 9, 4, 5, 13, 8, 6, 2, 1, 7, 11, 14, 12, 10, 3, 0, 9, 4, 5, 13, 6, 8
108, 15, 0.004047313821069831, 0.004090203634106113, 2, 1, 7, 11, 14, 12, 10, 3, 0, 9, 4, 5, 13, 6, 8, 2, 1, 7, 14, 11, 10, 12, 0, 3, 9, 4, 5, 8, 13, 6
112, 15, 0.004364484405463181, 0.0032694393454871275, 2, 1, 7, 14, 11, 10, 12, 3, 0, 9, 4, 5, 13, 8, 6, 2, 1, 7, 14, 11, 12, 3, 10, 9, 0, 4, 5, 13, 8, 6
116, 15, 0.004364484405463181, 0.0042702319545047905, 2, 1, 7, 14, 11, 10, 12, 3, 0, 9, 4, 5, 13, 8, 6, 2, 1, 7, 11, 14, 12, 10, 0, 3, 9, 4, 5, 13, 8, 6
120, 15, 0.004364484405463181, 0.004371491113174332, 2, 1, 7, 14, 11, 10, 12, 3, 0, 9, 4, 5, 13, 8, 6, 2, 1, 7, 11, 14, 12, 10, 0, 3, 9, 4, 5, 8, 13, 6
124, 15, 0.004371491113174332, 0.002985299184241634, 2, 1, 7, 11, 14, 12, 10, 0, 3, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 11, 12, 10, 3, 0, 9, 5, 4, 13, 8, 6
128, 15, 0.004450318074979295, 0.004450318074979295, 2, 1, 7, 14, 11, 12, 10, 0, 3, 9, 4, 13, 5, 8, 6, 2, 1, 7, 14, 11, 12, 10, 0, 3, 9, 4, 13, 5, 8, 6
132, 15, 0.004585364547641981, 0.0032799407645743724, 2, 1, 7, 14, 11, 12, 10, 3, 0, 9, 4, 5, 13, 8, 6, 2, 1, 7, 14, 12, 11, 3, 10, 9, 0, 4, 5, 13, 8, 6
136, 15, 0.004702325198917804, 0.004585364547641981, 2, 1, 7, 14, 11, 12, 10, 3, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 11, 12, 10, 3, 0, 9, 4, 5, 13, 8, 6
140, 15, 0.004784866491425236, 0.003279613470912479, 2, 1, 7, 11, 14, 12, 3, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 11, 12, 3, 10, 0, 9, 5, 4, 13, 8, 6
144, 15, 0.004784866491425236, 0.004585364547641981, 2, 1, 7, 11, 14, 12, 3, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 11, 12, 10, 3, 0, 9, 4, 5, 13, 8, 6
148, 15, 0.00486821026318254, 0.005000253011909635, 2, 1, 14, 7, 12, 11, 3, 10, 0, 9, 4, 5, 13, 8, 6, 2, 1, 14, 7, 12, 11, 3, 10, 0, 9, 4, 5, 8, 13, 6
152, 15, 0.005000253011909635, 0.0052261446076843875, 2, 1, 14, 7, 12, 11, 3, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 11, 12, 3, 10, 0, 9, 4, 5, 8, 6, 13
156, 15, 0.0052261446076843875, 0.003558264992049217, 2, 1, 7, 14, 11, 12, 3, 10, 0, 9, 4, 5, 8, 6, 13, 2, 1, 7, 14, 12, 11, 3, 10, 0, 9, 5, 4, 8, 13, 6
160, 15, 0.0052261446076843875, 0.0032694393454871275, 2, 1, 7, 14, 11, 12, 3, 10, 0, 9, 4, 5, 8, 6, 13, 2, 1, 7, 14, 11, 12, 3, 10, 9, 0, 4, 5, 13, 8, 6
164, 15, 0.0052261446076843875, 0.005158611477078791, 2, 1, 7, 14, 11, 12, 3, 10, 0, 9, 4, 5, 8, 6, 13, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 13, 8, 6
168, 15, 0.005307117747741269, 0.005307117747741269, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6
172, 15, 0.005307117747741269, 0.0046274804999861035, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 0, 4, 9, 5, 13, 8, 6
176, 15, 0.005307117747741269, 0.004647152581842671, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 12, 14, 11, 3, 10, 0, 9, 4, 5, 8, 13, 6
180, 15, 0.005307117747741269, 0.003328469111881883, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 11, 12, 3, 10, 9, 0, 4, 5, 8, 13, 6
184, 15, 0.005307117747741269, 0.0033393537919826277, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 9, 0, 4, 5, 8, 13, 6
188, 15, 0.005307117747741269, 0.004647152581842671, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 12, 14, 11, 3, 10, 0, 9, 4, 5, 8, 13, 6
192, 15, 0.005307117747741269, 0.004610585984935387, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 10, 3, 0, 9, 4, 5, 8, 13, 6
196, 15, 0.005307117747741269, 0.0047466274677214525, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 0, 4, 9, 5, 8, 13, 6
200, 15, 0.005307117747741269, 0.004610585984935387, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 10, 3, 0, 9, 4, 5, 8, 13, 6
204, 15, 0.005307117747741269, 0.003558264992049217, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 0, 9, 5, 4, 8, 13, 6
208, 15, 0.005307117747741269, 0.0033393537919826277, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 9, 0, 4, 5, 8, 13, 6
212, 15, 0.005307117747741269, 0.004610585984935387, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 10, 3, 0, 9, 4, 5, 8, 13, 6
216, 15, 0.005307117747741269, 0.004610585984935387, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 10, 3, 0, 9, 4, 5, 8, 13, 6
220, 15, 0.005307117747741269, 0.0033393537919826277, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 9, 0, 4, 5, 8, 13, 6
224, 15, 0.005307117747741269, 0.0033393537919826277, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 9, 0, 4, 5, 8, 13, 6
228, 15, 0.005307117747741269, 0.003558264992049217, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 0, 9, 5, 4, 8, 13, 6
232, 15, 0.005307117747741269, 0.0033393537919826277, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 9, 0, 4, 5, 8, 13, 6
236, 15, 0.005307117747741269, 0.0047466274677214525, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 0, 4, 9, 5, 8, 13, 6
240, 15, 0.005307117747741269, 0.0033393537919826277, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 9, 0, 4, 5, 8, 13, 6
244, 15, 0.005307117747741269, 0.0033393537919826277, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 9, 0, 4, 5, 8, 13, 6
248, 15, 0.005307117747741269, 0.0033393537919826277, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 9, 0, 4, 5, 8, 13, 6
252, 15, 0.005307117747741269, 0.003209419297350402, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 7, 1, 14, 12, 11, 3, 10, 9, 0, 4, 5, 8, 13, 6
